insurance_validity,fuel_type,kms_driven,ownsership,transmission,price(in lakhs)
0,0,43293,1,0,4.12
0,0,102786,1,0,5.95
0,0,98751,1,0,2.98
0,1,53000,1,1,34.9
2,1,54776,2,1,18.9
0,1,59870,1,0,7.27
0,0,50000,2,0,3.95
0,1,38000,1,1,2.45
0,0,80330,1,0,2.93
1,0,94000,1,0,6.25
2,1,37800,1,1,37.9
0,0,8000,1,1,87.0
0,0,67606,1,0,6.82
1,1,72135,2,1,15.75
0,0,96658,1,0,5.1
2,0,29000,1,1,27.25
0,1,76000,2,1,45.0
0,0,26750,1,1,8.62
3,0,92762,5,1,8.25
0,1,14000,1,1,35.5
0,0,43293,1,0,4.12
0,0,102786,1,0,5.95
0,0,98751,1,0,2.98
0,1,53000,1,1,34.9
2,1,54776,2,1,18.9
0,1,59870,1,0,7.27
0,0,50000,2,0,3.95
0,1,38000,1,1,2.45
0,0,80330,1,0,2.93
1,0,94000,1,0,6.25
2,1,37800,1,1,37.9
1,1,25000,1,1,65.5
0,1,29294,1,0,13.65
0,0,6800,1,1,16.95
0,0,16847,1,0,5.94
0,1,70000,3,1,17.5
1,0,25500,1,1,55.8
0,1,65865,1,1,7.99
0,0,1000,1,1,55.9
0,1,60000,2,1,38.0
0,1,54000,1,0,9.99
0,0,5500,1,1,72.0
0,0,20866,2,1,8.14
0,0,5000,1,1,9.85
0,0,130363,1,0,1.3
0,1,73937,1,0,8.99
0,1,40000,1,0,7.99
0,1,15000,2,1,74.5
0,0,42014,1,0,4.25
0,0,34000,1,1,16.4
1,1,73000,1,1,7.0
0,1,59841,1,0,8.74
2,0,37000,1,1,15.25
0,0,81949,1,0,2.92
0,0,50000,1,0,4.25
1,0,50000,2,0,1.75
0,0,34769,1,1,13.08
0,0,79656,1,0,3.1
1,1,55000,1,1,34.75
0,0,84310,1,0,5.64
0,0,23000,1,0,5.15
0,0,79362,1,0,3.42
0,1,18000,2,1,49.5
0,0,102511,1,0,2.49
0,2,70000,1,0,7.65
0,1,80000,2,1,48.5
0,0,105446,1,0,3.75
0,0,54000,1,0,4.25
0,0,75865,1,0,2.65
1,0,64690,1,0,10.0
1,0,5103,1,0,10.85
1,2,52000,2,0,1.5
0,0,18706,1,0,4.24
1,0,43687,1,0,5.2
1,0,51000,1,1,9.75
1,0,60758,2,0,4.4
1,1,42000,1,0,10.5
1,1,42261,1,0,8.85
0,0,75499,1,0,4.56
1,1,120000,3,0,3.99
1,0,87109,2,0,4.59
0,1,69000,1,0,8.5
0,1,109000,1,1,6.25
0,1,90001,1,1,10.75
1,0,13000,1,1,16.5
0,1,60000,2,0,2.4
0,0,75000,1,0,1.9
0,0,76000,1,1,9.25
1,1,82000,1,0,6.5
1,1,42261,1,0,8.85
1,0,87109,2,0,4.59
1,1,82000,1,0,6.5
1,0,47057,1,0,3.17
2,0,123715,1,0,7.7
1,0,36522,1,0,5.44
1,0,63000,1,0,5.8
0,0,23285,1,0,5.73
2,0,14596,2,0,6.41
0,1,48401,1,1,12.0
2,0,34377,1,0,7.57
1,1,127000,3,1,11.0
0,1,70000,1,1,39.95
1,1,90000,2,1,12.0
0,1,65000,1,0,7.25
0,1,80000,1,0,16.5
0,1,89000,1,0,5.5
0,1,90000,1,0,7.75
0,1,109000,1,1,7.25
2,1,66302,1,1,11.24
1,0,79247,1,0,4.1
0,0,46000,1,1,33.0
1,1,82051,1,0,6.07
1,0,31655,1,0,7.75
0,0,16000,1,0,5.75
2,1,59965,1,0,7.61
1,0,60000,3,0,1.75
2,0,103209,1,0,5.02
1,0,29497,1,0,5.59
0,0,51000,1,0,2.9
1,0,22849,1,1,6.83
1,1,66000,1,0,5.75
1,1,43000,1,1,29.5
0,1,68000,1,0,7.5
0,1,61000,1,1,37.5
0,0,35000,1,0,6.8
0,0,47000,1,1,6.75
1,1,54000,1,0,8.75
2,0,72000,1,1,6.15
1,0,62039,1,0,3.02
0,0,23428,1,0,7.14
0,1,53000,1,0,7.95
0,0,47925,1,0,4.53
1,0,59011,1,0,4.26
0,1,121281,1,1,17.51
1,0,63238,1,0,5.15
1,0,51376,1,1,6.0
0,0,51196,1,0,3.19
1,0,35898,2,1,5.43
0,1,40000,2,1,34.5
0,0,19876,1,0,4.92
0,1,68000,1,0,4.1
0,0,40451,1,0,5.25
1,0,60000,2,0,5.55
0,1,69000,1,1,14.5
0,0,98000,1,0,6.0
2,0,790000,1,1,9.75
2,0,55000,1,1,7.5
2,1,104000,1,0,5.25
2,0,57647,1,0,3.52
1,0,76125,2,0,4.4
1,1,94857,1,0,6.06
0,0,51499,1,0,4.96
0,1,22468,1,1,22.0
2,0,123186,1,0,3.68
0,0,20000,1,1,6.1
2,0,74661,1,0,5.45
0,1,50018,1,0,4.2
1,0,38000,1,0,5.6
2,0,11971,1,0,7.55
1,1,80000,3,0,1.0
0,0,64000,1,0,5.5
0,0,37000,1,0,5.05
0,1,92000,1,0,5.95
0,0,70000,2,0,3.4
0,0,83000,1,0,7.95
0,0,32000,1,0,5.1
0,1,88000,2,0,5.9
1,0,105885,1,0,3.27
2,1,93774,1,0,7.15
1,1,44000,1,1,39.5
1,0,86981,1,0,4.21
2,0,48728,1,0,6.66
0,0,87001,1,0,4.65
1,0,50595,1,0,4.11
0,0,31000,1,1,8.5
1,0,103012,1,0,4.14
1,0,108929,1,0,3.84
1,0,57000,1,1,7.95
0,0,56387,1,0,4.3
0,1,101000,1,0,5.75
0,0,42000,1,1,5.5
1,1,50000,1,0,13.9
0,1,810000,1,0,9.0
0,0,26000,1,1,5.95
0,1,92001,1,1,11.75
0,0,29000,1,0,4.5
1,0,69000,1,0,5.4
2,0,51918,1,0,5.4
1,0,37552,1,0,5.32
0,0,84000,1,0,8.7
1,0,63420,1,0,5.11
1,0,68888,2,0,4.39
0,1,104255,1,0,4.5
1,0,47877,1,0,4.72
0,0,61000,2,1,27.9
1,1,83337,1,0,4.64
1,0,61836,1,0,4.06
0,0,68001,1,1,5.9
2,0,39813,1,0,7.87
0,0,74000,1,0,6.9
0,0,87000,1,0,3.5
1,0,71000,1,0,6.6
0,1,102000,1,1,43.5
1,0,110000,3,1,6.5
0,0,75000,1,0,5.7
1,1,62000,1,0,7.1
1,0,49000,1,0,4.4
0,0,76792,1,0,6.37
0,0,34445,1,0,4.24
0,0,64000,1,0,3.2
1,0,109405,1,0,5.2
0,0,118146,1,0,4.61
0,0,9000,1,1,8.75
2,0,41339,2,1,5.87
0,0,22000,2,1,33.5
0,0,62607,1,0,7.21
2,0,52794,1,0,6.77
0,0,10000,1,1,67.5
1,0,33864,1,0,5.86
1,1,73000,2,1,4.25
1,0,70000,1,0,4.75
0,1,67754,2,0,6.15
0,0,69000,1,0,2.5
1,1,78000,1,0,10.25
1,0,70000,3,0,1.4
1,1,83000,1,0,7.8
0,0,17778,1,1,7.04
1,0,16499,1,1,7.14
1,1,120000,1,0,2.25
0,0,33364,1,0,4.79
0,0,64784,1,0,4.26
0,0,59000,1,1,19.9
1,0,29584,1,0,3.7
1,0,80000,3,0,3.0
1,0,87217,1,0,3.73
1,0,77482,2,0,3.99
0,0,60000,1,1,6.25
1,0,34312,1,0,5.57
1,0,53000,1,1,6.5
0,0,45000,1,1,5.75
0,0,23000,1,0,6.9
0,0,80001,1,0,4.9
0,1,62000,1,0,5.5
1,0,57000,1,1,8.5
0,0,21000,1,0,3.9
1,0,43415,1,0,4.08
1,1,24412,1,0,7.58
2,1,45000,1,1,25.9
1,0,24020,1,0,4.8
1,0,70251,2,0,5.33
0,0,44000,1,1,9.9
0,2,86212,1,0,4.2
1,0,64000,1,1,9.5
1,0,39458,1,0,4.65
1,1,70598,1,0,3.56
0,0,94000,1,0,4.75
1,0,48325,1,0,4.3
0,0,66000,2,1,6.5
0,1,86001,1,0,5.75
0,0,62000,1,1,6.9
0,0,50000,1,0,6.25
0,1,79000,1,0,9.25
0,1,74002,1,1,6.75
0,0,74000,1,1,52.9
1,1,65000,2,0,5.9
0,0,39718,2,0,7.58
1,0,67529,1,0,4.5
1,1,110000,2,1,40.0
1,0,88281,1,0,5.01
1,0,64160,2,0,4.12
0,1,88000,1,1,15.5
2,0,77253,1,0,4.91
0,1,72000,1,1,11.9
0,0,102614,1,0,4.01
0,0,78911,2,0,6.37
0,1,99000,1,1,28.9
1,0,47975,2,0,4.96
0,1,56000,1,1,29.5
1,1,121000,1,1,35.0
0,1,78000,1,1,23.9
0,1,75000,2,1,32.9
0,1,44000,1,1,53.5
0,0,42000,1,1,4.5
1,0,60000,3,1,5.1
1,0,64657,1,0,4.02
0,0,100657,1,1,5.67
0,0,32000,1,1,10.9
1,0,50570,1,0,2.8
1,0,42392,1,0,5.13
1,1,78000,2,0,3.75
1,0,62155,1,0,4.19
1,0,100000,2,0,1.55
0,1,94822,3,0,5.43
1,0,59422,1,0,2.91
0,0,82000,1,1,13.9
1,0,70727,2,1,9.12
0,0,79000,1,1,12.9
1,1,120000,2,0,3.45
1,1,120000,1,0,2.25
1,1,120000,3,0,4.0
0,1,70000,1,1,6.15
0,1,61000,1,1,19.75
0,0,92000,1,0,3.6
1,0,58857,1,0,6.5
0,0,68237,1,0,3.89
2,0,31237,1,0,7.27
1,0,45000,1,0,4.95
1,1,93027,1,0,3.71
1,1,122688,2,0,4.22
0,1,53000,1,0,6.75
2,0,60464,1,0,4.6
1,0,40171,1,0,5.17
1,0,122223,1,0,5.8
1,0,44000,1,0,2.4
1,0,77299,2,1,4.79
0,1,39000,1,0,13.95
1,1,120000,2,0,11.0
2,0,29000,1,0,12.9
0,0,60000,1,0,4.75
0,1,80000,1,0,6.9
0,1,78000,1,0,5.5
0,1,58000,1,0,5.5
1,1,67000,1,0,4.25
0,0,44019,2,0,3.15
0,0,11962,1,0,5.69
0,0,44002,3,0,95000.0
0,0,13066,1,0,3.69
0,0,36015,1,0,3.61
1,0,14000,2,1,6.99
0,2,11880,1,0,4.74
0,0,35000,2,0,2.25
0,1,65018,1,0,4.75
0,0,28061,1,0,3.43
1,0,40300,1,1,6.5
0,0,58231,1,0,3.32
1,0,13000,1,1,8.9
0,0,32997,1,0,3.39
0,0,41203,1,0,3.99
0,0,6818,1,0,5.4
0,1,44000,1,0,5.5
1,1,29200,1,0,8.75
0,0,16016,1,0,1.85
0,0,26638,1,0,4.19
0,1,44000,1,0,5.5
0,2,18930,1,0,4.79
1,0,5700,1,1,1.05
1,1,29200,1,0,8.75
0,2,26580,1,0,4.49
0,0,35000,1,0,7.45
0,0,32000,1,1,21.0
0,1,68499,1,1,10.83
0,1,53750,1,0,6.85
0,0,48341,1,0,3.03
1,0,25000,1,1,3.6
0,0,34260,1,0,3.95
0,1,48380,2,0,5.83
1,1,52000,1,0,9.95
0,0,23022,2,0,2.25
0,0,26610,1,0,3.65
0,1,66019,1,0,7.75
0,0,42320,1,0,2.29
0,2,25484,1,0,4.77
0,0,25171,1,0,2.22
0,1,78006,2,0,2.55
0,0,21607,1,1,4.7
0,0,52162,1,1,11.92
0,1,23435,1,1,45.0
0,0,20336,1,0,12.81
0,1,68591,1,0,6.75
0,1,65341,1,0,3.44
0,0,23329,1,0,2.72
0,1,84000,1,0,5.25
0,1,19000,1,0,14.95
0,1,100500,3,0,2.45
1,1,58500,1,0,6.65
0,1,66455,1,1,19.35
0,0,1229,1,0,5.9
1,0,12100,1,1,50.0
0,0,26597,1,1,9.25
0,0,73616,1,0,3.75
0,0,53657,1,0,2.63
0,0,37016,1,0,2.05
0,0,62466,1,0,3.9
0,0,20041,1,0,6.19
0,0,49000,1,0,3.65
0,0,44669,1,0,3.79
0,0,28500,1,1,5.45
0,0,19843,1,0,3.05
0,0,44800,1,0,3.81
0,0,44275,1,0,3.75
0,0,27012,1,0,5.45
0,0,35629,1,1,4.25
0,0,37009,1,0,2.75
0,0,28000,1,1,2.7
0,0,46022,1,0,2.35
1,0,100000,1,0,1.25
0,0,22302,1,0,6.9
1,0,17000,2,1,80.0
0,1,7400,1,1,20.25
0,0,17024,2,0,2.72
0,1,71649,1,0,3.32
0,0,9016,1,0,5.05
0,0,44999,1,0,3.74
0,1,78106,1,0,5.1
0,0,34016,1,0,2.15
0,1,85692,1,0,3.47
1,0,6500,1,0,7.98
0,0,35080,1,0,8.99
0,0,77727,1,0,3.77
0,0,43000,1,0,3.49
0,0,30000,1,0,4.25
0,1,42364,1,0,4.5
0,0,7000,2,1,4.95
0,0,54000,1,0,3.95
0,0,45000,1,0,2.25
0,0,44018,1,0,3.45
1,0,18500,1,1,12.9
0,0,43002,1,0,1.75
1,0,13200,1,1,50.0
0,0,69381,1,0,3.27
0,1,64275,1,0,6.28
0,0,7421,1,1,12.49
0,0,5252,1,1,12.07
0,0,63663,1,0,3.41
0,0,60545,1,0,5.55
0,0,85602,1,0,3.33
0,1,35902,1,1,28.0
0,0,87172,1,0,7.88
0,0,52950,2,0,3.72
0,0,42005,1,0,4.71
0,0,64000,1,0,8.25
0,0,32000,1,0,8.25
0,0,65000,1,0,8.5
0,0,21000,1,0,8.85
0,0,39450,1,1,8.15
0,0,32000,1,0,8.85
0,0,60314,1,0,5.75
0,0,4000,1,0,7.49
0,1,65000,1,1,5.25
0,1,78019,1,0,6.39
0,0,42970,1,0,7.64
0,1,176000,1,0,4.4
0,0,24100,1,0,4.74
0,0,51123,1,0,4.71
0,0,66000,1,0,5.95
0,1,48405,1,0,4.98
0,1,52305,1,1,10.75
0,1,46488,2,0,3.71
0,1,71842,1,0,5.29
0,1,91000,3,0,3.95
0,1,51334,1,0,2.8
0,1,72560,1,1,16.7
0,0,68000,1,0,3.85
0,0,45000,1,0,3.6
0,0,44000,1,0,3.95
0,0,47000,1,1,10.95
0,1,92044,1,1,16.5
1,1,40000,1,1,46.0
0,0,60545,1,0,5.5
0,1,79097,1,0,3.29
0,0,68619,2,0,3.44
0,1,34452,1,1,16.75
0,1,40326,1,0,5.22
0,0,40021,1,0,3.92
0,0,44000,1,0,3.99
1,0,7962,1,0,4.89
0,1,260000,1,0,6.25
0,0,44508,1,0,3.38
0,0,58958,1,1,5.25
1,0,44000,2,0,4.65
0,0,48188,1,0,8.25
0,0,55000,1,0,1.51
0,0,24268,1,0,2.85
0,1,23000,1,1,10.5
0,0,38502,1,1,13.75
0,1,35000,1,0,7.5
0,0,43487,1,0,13.5
0,1,32000,1,1,7.5
1,1,14400,1,1,24.0
0,0,62920,1,0,5.27
0,0,60467,1,0,2.8
0,0,65017,2,0,2.25
0,0,38015,1,0,5.47
0,0,49134,1,0,4.42
0,0,37100,2,1,3.1
0,0,69977,1,1,8.69
0,0,16937,1,1,3.25
0,1,51441,1,0,10.71
0,0,53947,1,1,5.62
0,0,30000,1,0,13.2
1,0,40909,1,0,4.35
0,1,70000,1,0,5.75
0,0,69000,2,0,2.25
0,0,28662,1,0,3.85
0,1,46912,1,1,16.25
0,0,65000,1,0,2.5
0,1,40238,1,1,12.5
0,1,52000,1,0,4.45
0,0,22873,1,0,4.73
0,0,77389,1,0,2.27
0,0,32000,1,0,5.3
0,1,88935,1,1,4.85
0,0,53681,2,0,3.04
1,1,60000,1,0,5.65
0,1,49441,1,0,4.89
0,1,41000,1,0,16.95
0,0,23838,1,0,8.85
0,1,26719,1,0,7.89
0,1,34987,1,1,1.1
0,1,27236,2,0,6.5
0,1,41080,1,0,5.9
0,1,72793,1,0,4.55
0,0,64000,3,0,2.35
1,1,30000,1,1,39.0
0,0,32002,1,0,4.41
0,1,105000,1,0,5.25
1,1,30000,1,1,16.0
0,0,20827,1,0,4.6
1,1,37852,2,0,6.75
0,1,16683,1,1,19.24
0,0,53135,1,0,1.8
0,0,32230,1,0,5.13
0,1,11000,1,1,69.5
0,0,10400,1,1,16.35
0,0,23748,1,0,6.55
0,0,13513,1,1,7.65
1,0,12952,1,1,10.99
0,0,22672,1,0,3.84
0,0,23000,1,0,2.9
0,0,41048,1,0,5.48
0,1,10000,1,1,58.75
0,0,1800,1,0,3.15
0,0,34000,1,1,17.5
1,0,40000,1,0,4.7
2,0,30000,1,1,11.4
0,0,22700,1,0,5.45
0,0,28000,1,1,99.0
1,0,79862,1,0,1.69
0,0,29146,1,1,11.35
0,0,5500,1,1,9.35
0,0,35925,2,0,3.14
0,0,57999,1,1,4.59
0,0,23000,1,0,2.9
0,0,14352,2,0,5.87
0,1,10000,1,1,58.75
0,2,49999,1,0,6.34
0,0,21194,1,0,6.37
0,0,1800,1,0,3.15
0,2,27019,1,0,6.7
0,1,24000,1,1,9.95
0,0,32000,1,0,2.4
1,0,22600,1,1,37.75
1,0,10000,1,1,85.0
0,0,34000,1,1,17.5
2,0,30000,1,1,11.4
0,0,22700,1,0,5.45
0,0,9700,1,1,35.49
0,0,13519,1,0,6.94
0,0,45017,1,1,8.75
0,0,78308,1,0,3.57
1,0,79852,1,1,5.69
0,0,28000,1,1,99.0
2,0,18049,1,0,3.15
0,0,19500,1,0,16.21
0,1,35000,1,1,41.99
0,0,7643,1,0,6.19
1,0,12000,1,0,5.31
0,0,22316,1,1,4.54
1,0,40000,2,1,16.0
1,0,45221,1,0,2.35
0,0,35000,1,1,8.45
2,0,7000,1,1,1.15
1,1,40000,1,0,17.0
0,0,38671,2,0,6.25
1,0,49303,2,0,2.8
0,0,65000,1,1,2.95
0,0,68000,1,1,24.99
0,0,17536,1,0,9.7
1,0,30400,1,0,5.35
0,0,15071,1,0,14.28
0,1,80100,1,0,6.25
0,0,10773,1,1,11.85
2,0,10957,1,1,7.53
0,0,19000,1,0,7.45
1,1,87900,2,1,6.5
0,0,16100,1,1,6.44
0,1,48650,1,0,5.25
0,0,29252,1,1,11.05
1,0,2300,1,0,5.9
0,0,19446,1,1,6.5
1,2,26500,1,0,11.5
0,1,35000,1,1,17.41
0,0,49000,1,0,5.85
0,0,40000,2,0,4.75
0,0,34756,1,0,6.1
