insurance_validity,fuel_type,kms_driven,ownsership,transmission,price(in lakhs)
0,1,35000,1,1,36.0
0,0,67264,2,0,3.27
2,1,17000,1,1,65.0
0,2,77584,2,0,2.8
0,0,50000,1,1,98.5
1,1,70000,1,0,9.0
0,0,71977,2,0,2.94
0,0,52690,2,0,4.2
0,0,11900,1,1,18.25
0,0,53747,1,0,5.77
2,1,32321,1,1,49.9
0,0,55485,1,0,3.35
1,0,54000,2,1,59.75
0,0,49404,1,0,5.44
1,1,100000,1,1,22.5
0,1,35000,1,1,36.0
0,0,67264,2,0,3.27
2,1,17000,1,1,65.0
0,2,77584,2,0,2.8
0,0,50000,1,1,98.5
1,1,70000,1,0,9.0
0,0,71977,2,0,2.94
0,0,52690,2,0,4.2
0,0,11900,1,1,18.25
0,0,53747,1,0,5.77
2,1,32321,1,1,49.9
0,0,55485,1,0,3.35
1,0,54000,2,1,59.75
0,0,49404,1,0,5.44
1,1,100000,1,1,22.5
0,0,8000,1,1,24.0
0,0,33841,1,0,3.17
0,0,9246,1,0,15.62
0,0,42000,1,1,17.9
0,1,42462,1,0,4.3
1,1,30000,1,1,24.75
0,0,96660,1,0,2.47
0,0,38963,1,0,4.13
1,0,70000,2,0,1.6
0,0,63249,1,0,4.59
0,0,82000,1,0,7.49
0,0,38000,1,0,6.75
1,1,40500,1,1,25.25
2,1,40000,1,0,11.55
0,0,65170,2,0,3.02
0,0,50000,1,0,7.25
0,0,34838,1,0,3.88
0,0,30466,1,1,10.5
0,1,32000,2,1,44.5
1,1,50000,1,1,33.0
0,0,48946,1,0,4.11
0,1,43498,2,1,29.9
0,0,8744,1,1,16.01
1,1,30000,1,0,7.8
0,0,72000,1,1,32.5
0,0,71361,1,0,5.52
0,1,60500,1,1,19.95
1,0,30000,1,1,49.5
0,1,64000,1,0,7.99
0,0,26000,2,1,12.45
0,0,60000,1,1,6.49
2,1,40000,1,0,11.55
0,0,65170,2,0,3.02
0,0,50000,1,0,7.25
0,0,34838,1,0,3.88
0,0,72000,2,1,49.5
0,0,30466,1,1,10.5
0,1,32000,2,1,44.5
1,1,50000,1,1,33.0
0,0,48946,1,0,4.11
0,1,43498,2,1,29.9
0,0,8744,1,1,16.01
1,1,30000,1,0,7.8
0,0,72000,1,1,32.5
0,0,71361,1,0,5.52
0,1,60500,1,1,19.95
1,0,30000,1,1,49.5
0,1,64000,1,0,7.99
0,0,26000,2,1,12.45
0,0,60000,1,1,6.49
0,0,28000,1,1,26.5
0,0,89002,1,0,2.37
0,0,36937,1,0,6.4
1,1,42000,1,0,18.75
0,1,55000,1,1,41.5
0,0,70391,2,0,5.12
1,0,56000,1,0,4.95
0,0,52190,1,0,4.31
1,1,40000,1,1,9.99
0,1,72000,1,1,20.0
0,0,48173,1,0,2.88
1,0,110000,2,1,7.3
1,0,50000,1,0,3.39
1,1,44132,2,1,26.9
1,0,90000,3,0,4.75
0,1,49000,1,1,33.5
0,0,28000,1,1,26.5
0,0,89002,1,0,2.37
0,0,28194,1,0,9.03
0,0,34500,1,1,52.0
2,1,50605,2,1,39.9
0,0,36937,1,0,6.4
1,1,42000,1,0,18.75
0,1,55000,1,1,41.5
0,0,70391,2,0,5.12
1,0,56000,1,0,4.95
0,0,52190,1,0,4.31
1,1,40000,1,1,9.99
0,1,72000,1,1,20.0
0,0,48173,1,0,2.88
1,0,110000,2,1,7.3
1,0,50000,1,0,3.39
1,1,44132,2,1,26.9
1,0,90000,3,0,4.75
0,1,49000,1,1,33.5
0,1,70000,2,1,40.0
0,0,49341,1,0,8.42
0,1,55000,1,1,18.95
0,1,55861,1,0,10.27
1,0,76000,2,1,49.5
